locus_tag	ftype	gene	EC_number	product
ALJHJBEP_00001	CDS			hypothetical protein
ALJHJBEP_00002	CDS			hypothetical protein
ALJHJBEP_00003	CDS			hypothetical protein
ALJHJBEP_00004	CDS			hypothetical protein
ALJHJBEP_00005	CDS			hypothetical protein
ALJHJBEP_00006	CDS			hypothetical protein
ALJHJBEP_00007	CDS			hypothetical protein
ALJHJBEP_00008	CDS			hypothetical protein
ALJHJBEP_00009	CDS			hypothetical protein
ALJHJBEP_00010	CDS			hypothetical protein
ALJHJBEP_00011	CDS			hypothetical protein
ALJHJBEP_00012	CDS	nanS_1	3.1.1.-	putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
ALJHJBEP_00013	CDS	rhsC_1	3.1.-.-	Putative deoxyribonuclease RhsC
ALJHJBEP_00014	CDS			hypothetical protein
ALJHJBEP_00015	CDS	iraM		Anti-adapter protein IraM
ALJHJBEP_00016	CDS	stxB		Shiga toxin subunit B
ALJHJBEP_00017	CDS	stxA	3.2.2.22	Shiga toxin subunit A
ALJHJBEP_00018	tRNA			tRNA-Arg(tct)
ALJHJBEP_00019	tRNA			tRNA-Arg(tcg)
ALJHJBEP_00020	tRNA			tRNA-Met(cat)
ALJHJBEP_00021	CDS			hypothetical protein
ALJHJBEP_00022	CDS			hypothetical protein
ALJHJBEP_00023	CDS			hypothetical protein
ALJHJBEP_00024	CDS			hypothetical protein
ALJHJBEP_00025	CDS			hypothetical protein
ALJHJBEP_00026	CDS			hypothetical protein
ALJHJBEP_00027	CDS			hypothetical protein
ALJHJBEP_00028	CDS			hypothetical protein
ALJHJBEP_00029	CDS			hypothetical protein
ALJHJBEP_00030	CDS	pfkA_1	2.7.1.11	ATP-dependent 6-phosphofructokinase isozyme 1
ALJHJBEP_00031	CDS			hypothetical protein
ALJHJBEP_00032	CDS	cbtA_1		Cytoskeleton-binding toxin CbtA
ALJHJBEP_00033	CDS			hypothetical protein
ALJHJBEP_00034	CDS			hypothetical protein
ALJHJBEP_00035	CDS			hypothetical protein
ALJHJBEP_00036	CDS			hypothetical protein
ALJHJBEP_00037	tRNA			tRNA-Arg(tct)
ALJHJBEP_00038	tRNA			tRNA-Arg(tcg)
ALJHJBEP_00039	tRNA			tRNA-Met(cat)
ALJHJBEP_00040	CDS	gadW_1		HTH-type transcriptional regulator GadW
ALJHJBEP_00041	CDS			hypothetical protein
ALJHJBEP_00042	CDS			hypothetical protein
ALJHJBEP_00043	CDS			hypothetical protein
ALJHJBEP_00044	CDS	rusA_1	3.1.22.4	Crossover junction endodeoxyribonuclease RusA
ALJHJBEP_00045	tRNA			tRNA-Arg(tct)
ALJHJBEP_00046	CDS			hypothetical protein
ALJHJBEP_00047	CDS			hypothetical protein
ALJHJBEP_00048	CDS			hypothetical protein
ALJHJBEP_00049	CDS			hypothetical protein
ALJHJBEP_00050	CDS			hypothetical protein
ALJHJBEP_00051	CDS			hypothetical protein
ALJHJBEP_00052	CDS	dnaC_1		DNA replication protein DnaC
ALJHJBEP_00053	CDS			hypothetical protein
ALJHJBEP_00054	CDS			hypothetical protein
ALJHJBEP_00055	CDS			hypothetical protein
ALJHJBEP_00056	CDS			hypothetical protein
ALJHJBEP_00057	CDS			hypothetical protein
ALJHJBEP_00058	CDS			hypothetical protein
ALJHJBEP_00059	CDS	kilR_1		Killing protein KilR
ALJHJBEP_00060	CDS			hypothetical protein
ALJHJBEP_00061	CDS			hypothetical protein
ALJHJBEP_00062	CDS			hypothetical protein
ALJHJBEP_00063	CDS			hypothetical protein
ALJHJBEP_00064	CDS			hypothetical protein
ALJHJBEP_00065	CDS			hypothetical protein
ALJHJBEP_00066	CDS			hypothetical protein
ALJHJBEP_00067	CDS			hypothetical protein
ALJHJBEP_00068	CDS	xerD_1		Tyrosine recombinase XerD
ALJHJBEP_00069	CDS			hypothetical protein
ALJHJBEP_00070	CDS			hypothetical protein
ALJHJBEP_00071	CDS			hypothetical protein
ALJHJBEP_00072	CDS			hypothetical protein
ALJHJBEP_00073	CDS			hypothetical protein
ALJHJBEP_00074	CDS			hypothetical protein
ALJHJBEP_00075	CDS			hypothetical protein
ALJHJBEP_00076	CDS			hypothetical protein
ALJHJBEP_00077	CDS			hypothetical protein
ALJHJBEP_00078	CDS	sppA_1	3.4.21.-	Putative signal peptide peptidase SppA
ALJHJBEP_00079	CDS			hypothetical protein
ALJHJBEP_00080	CDS			hypothetical protein
ALJHJBEP_00081	CDS			hypothetical protein
ALJHJBEP_00082	CDS			hypothetical protein
ALJHJBEP_00083	CDS			hypothetical protein
ALJHJBEP_00084	rRNA			23S ribosomal RNA
ALJHJBEP_00085	rRNA			5S ribosomal RNA
ALJHJBEP_00086	rRNA			5S ribosomal RNA
ALJHJBEP_00087	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
ALJHJBEP_00088	CDS	birA	6.3.4.15	Bifunctional ligase/repressor BirA
ALJHJBEP_00089	CDS	coaA_1	2.7.1.33	Pantothenate kinase
ALJHJBEP_00090	tRNA			tRNA-Thr(tgt)
ALJHJBEP_00091	tRNA			tRNA-Tyr(gta)
ALJHJBEP_00092	tRNA			tRNA-Gly(tcc)
ALJHJBEP_00093	tRNA			tRNA-Thr(ggt)
ALJHJBEP_00094	CDS			hypothetical protein
ALJHJBEP_00095	CDS			hypothetical protein
ALJHJBEP_00096	CDS			hypothetical protein
ALJHJBEP_00097	CDS			hypothetical protein
ALJHJBEP_00098	CDS			hypothetical protein
ALJHJBEP_00099	CDS			hypothetical protein
ALJHJBEP_00100	CDS			hypothetical protein
ALJHJBEP_00101	CDS			hypothetical protein
ALJHJBEP_00102	CDS			hypothetical protein
ALJHJBEP_00103	CDS			hypothetical protein
ALJHJBEP_00104	CDS			hypothetical protein
ALJHJBEP_00105	CDS			hypothetical protein
ALJHJBEP_00106	CDS			hypothetical protein
ALJHJBEP_00107	CDS	nfrA_1		Bacteriophage adsorption protein A
ALJHJBEP_00108	CDS	nfrA_2		Bacteriophage adsorption protein A
ALJHJBEP_00109	CDS			hypothetical protein
ALJHJBEP_00110	CDS	gadX_1		HTH-type transcriptional regulator GadX
ALJHJBEP_00111	tRNA			tRNA-Arg(tct)
ALJHJBEP_00112	CDS	bvgA_1		Virulence factors putative positive transcription regulator BvgA
ALJHJBEP_00113	CDS	sfmF		putative fimbrial-like protein SfmF
ALJHJBEP_00114	CDS	sfmH		putative fimbrial-like protein SfmH
ALJHJBEP_00115	CDS	sfmD		Outer membrane usher protein SfmD
ALJHJBEP_00116	CDS	sfmC		putative fimbrial chaperone SfmC
ALJHJBEP_00117	CDS	sfmA		putative fimbrial-like protein SfmA
ALJHJBEP_00118	CDS	folD		Bifunctional protein FolD protein
ALJHJBEP_00119	CDS			hypothetical protein
ALJHJBEP_00120	CDS	ybcI		Inner membrane protein YbcI
ALJHJBEP_00121	CDS	cysS	6.1.1.16	Cysteine--tRNA ligase
ALJHJBEP_00122	CDS	ppiB	5.2.1.8	Peptidyl-prolyl cis-trans isomerase B
ALJHJBEP_00123	CDS	lpxH	3.6.1.54	UDP-2,3-diacylglucosamine hydrolase
ALJHJBEP_00124	CDS	purE	5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase
ALJHJBEP_00125	CDS	purK	6.3.4.18	N5-carboxyaminoimidazole ribonucleotide synthase
ALJHJBEP_00126	CDS	arcC2_1	2.7.2.2	Carbamate kinase 2
ALJHJBEP_00127	CDS			hypothetical protein
ALJHJBEP_00128	CDS			hypothetical protein
ALJHJBEP_00129	CDS			hypothetical protein
ALJHJBEP_00130	CDS	allD	1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+))
ALJHJBEP_00131	CDS	allC	3.5.3.-	Allantoate amidohydrolase
ALJHJBEP_00132	CDS	allE	3.5.3.26	(S)-ureidoglycine aminohydrolase
ALJHJBEP_00133	CDS	glxK	2.7.1.31	Glycerate 3-kinase
ALJHJBEP_00134	CDS	ybbY		Putative purine permease YbbY
ALJHJBEP_00135	CDS	allB_1	3.5.2.5	Allantoinase
ALJHJBEP_00136	CDS	allB_2	3.5.2.5	Allantoinase
ALJHJBEP_00137	CDS	ybbW		Putative allantoin permease
ALJHJBEP_00138	CDS	glxR	1.1.1.60	2-hydroxy-3-oxopropionate reductase
ALJHJBEP_00139	CDS	hyi	5.3.1.22	Hydroxypyruvate isomerase
ALJHJBEP_00140	CDS	gcl	4.1.1.47	Glyoxylate carboligase
ALJHJBEP_00141	CDS	allR		HTH-type transcriptional repressor AllR
ALJHJBEP_00142	CDS	allA	4.3.2.3	Ureidoglycolate lyase
ALJHJBEP_00143	CDS	allS		HTH-type transcriptional activator AllS
ALJHJBEP_00144	CDS	selU	2.9.1.-	tRNA 2-selenouridine synthase
ALJHJBEP_00145	CDS			hypothetical protein
ALJHJBEP_00146	CDS			hypothetical protein
ALJHJBEP_00147	CDS	rhsC_2	3.1.-.-	Putative deoxyribonuclease RhsC
ALJHJBEP_00148	CDS			hypothetical protein
ALJHJBEP_00149	CDS			hypothetical protein
ALJHJBEP_00150	CDS			hypothetical protein
ALJHJBEP_00151	CDS			hypothetical protein
ALJHJBEP_00152	CDS			hypothetical protein
ALJHJBEP_00153	CDS			hypothetical protein
ALJHJBEP_00154	CDS			hypothetical protein
ALJHJBEP_00155	CDS			hypothetical protein
ALJHJBEP_00156	CDS			hypothetical protein
ALJHJBEP_00157	CDS			hypothetical protein
ALJHJBEP_00158	CDS			hypothetical protein
ALJHJBEP_00159	CDS			hypothetical protein
ALJHJBEP_00160	CDS			hypothetical protein
ALJHJBEP_00161	CDS			hypothetical protein
ALJHJBEP_00162	CDS			hypothetical protein
ALJHJBEP_00163	CDS			hypothetical protein
ALJHJBEP_00164	CDS	cvrA		K(+)/H(+) antiporter NhaP2
ALJHJBEP_00165	CDS	ldcA	3.4.17.13	Murein tetrapeptide carboxypeptidase
ALJHJBEP_00166	CDS	emtA	4.2.2.-	Endo-type membrane-bound lytic murein transglycosylase A
ALJHJBEP_00167	CDS	dhaK	2.7.-.-	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
ALJHJBEP_00168	CDS	dhaR		PTS-dependent dihydroxyacetone kinase operon regulatory protein
ALJHJBEP_00169	CDS			putative autotransporter
ALJHJBEP_00170	CDS	ychF		Ribosome-binding ATPase YchF
ALJHJBEP_00171	CDS	pth	3.1.1.29	Peptidyl-tRNA hydrolase
ALJHJBEP_00172	CDS			hypothetical protein
ALJHJBEP_00173	CDS	dauA		C4-dicarboxylic acid transporter DauA
ALJHJBEP_00174	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
ALJHJBEP_00175	CDS	ispE	2.7.1.148	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ALJHJBEP_00176	CDS	lolB		Outer-membrane lipoprotein LolB
ALJHJBEP_00177	CDS	hemA	1.2.1.70	Glutamyl-tRNA reductase
ALJHJBEP_00178	CDS	prfA		Peptide chain release factor RF1
ALJHJBEP_00179	CDS	prmC	2.1.1.297	Release factor glutamine methyltransferase
ALJHJBEP_00180	CDS			hypothetical protein
ALJHJBEP_00181	CDS			hypothetical protein
ALJHJBEP_00182	CDS	kdsA	2.5.1.55	2-dehydro-3-deoxyphosphooctonate aldolase
ALJHJBEP_00183	CDS	ldrD_1		Small toxic polypeptide LdrD
ALJHJBEP_00184	CDS	ldrD_2		Small toxic polypeptide LdrD
ALJHJBEP_00185	CDS	chaA		Sodium-potassium/proton antiporter ChaA
ALJHJBEP_00186	CDS	chaB		Putative cation transport regulator ChaB
ALJHJBEP_00187	CDS			hypothetical protein
ALJHJBEP_00188	CDS			hypothetical protein
ALJHJBEP_00189	CDS			Invasin
ALJHJBEP_00190	CDS	narL_1		Nitrate/nitrite response regulator protein NarL
ALJHJBEP_00191	CDS	narX_1	2.7.13.3	Nitrate/nitrite sensor protein NarX
ALJHJBEP_00192	CDS			hypothetical protein
ALJHJBEP_00193	CDS	narK		Nitrate/nitrite transporter NarK
ALJHJBEP_00194	CDS	narG	1.7.99.4	Respiratory nitrate reductase 1 alpha chain
ALJHJBEP_00195	CDS	narH	1.7.99.4	Respiratory nitrate reductase 1 beta chain
